,categories,test_takers,total_mean,erw_mean,math_mean,met_both,met_neither,erw_met,math_met,year,state,participation
598,latino,182.0,1069.0,541.0,528.0,0.41,0.26,0.71,0.44,2018,arkansas,0.05
599,pacific,5.0,,,,,,,,2018,arkansas,0.05
600,white,979.0,1203.0,614.0,589.0,0.74,0.08,0.92,0.75,2018,arkansas,0.05
601,multi,89.0,1141.0,583.0,558.0,0.57,0.13,0.84,0.6,2018,arkansas,0.05
602,no_race,46.0,972.0,487.0,485.0,0.2,0.48,0.48,0.24,2018,arkansas,0.05
603,female,879.0,1155.0,591.0,563.0,0.63,0.12,0.86,0.64,2018,arkansas,0.05
604,male,712.0,1186.0,594.0,592.0,0.68,0.14,0.84,0.7,2018,arkansas,0.05
605,total,262228.0,1076.0,540.0,536.0,0.48,0.27,0.71,0.5,2018,california,0.6
606,native,1032.0,969.0,492.0,477.0,0.29,0.45,0.53,0.31,2018,california,0.6
607,asian,46615.0,1210.0,590.0,619.0,0.74,0.1,0.86,0.77,2018,california,0.6
608,black,12871.0,967.0,494.0,473.0,0.26,0.44,0.54,0.27,2018,california,0.6
609,latino,122525.0,990.0,501.0,490.0,0.3,0.39,0.59,0.33,2018,california,0.6
610,pacific,1323.0,1020.0,513.0,507.0,0.37,0.33,0.64,0.39,2018,california,0.6
611,white,59845.0,1167.0,588.0,579.0,0.68,0.1,0.89,0.7,2018,california,0.6
612,multi,11415.0,1158.0,583.0,575.0,0.64,0.13,0.86,0.66,2018,california,0.6
613,no_race,6602.0,986.0,497.0,489.0,0.32,0.46,0.52,0.34,2018,california,0.6
614,female,142745.0,1061.0,538.0,523.0,0.44,0.27,0.71,0.45,2018,california,0.6
615,male,119474.0,1093.0,542.0,552.0,0.53,0.26,0.71,0.56,2018,california,0.6
616,total,58790.0,1025.0,519.0,506.0,0.4,0.35,0.63,0.42,2018,colorado,1.0
617,native,531.0,922.0,468.0,455.0,0.19,0.56,0.42,0.21,2018,colorado,1.0
618,asian,2111.0,1119.0,550.0,569.0,0.58,0.22,0.73,0.63,2018,colorado,1.0
619,black,2553.0,922.0,471.0,451.0,0.2,0.54,0.44,0.21,2018,colorado,1.0
620,latino,18204.0,931.0,471.0,460.0,0.21,0.54,0.43,0.23,2018,colorado,1.0
621,pacific,126.0,950.0,486.0,465.0,0.23,0.44,0.55,0.25,2018,colorado,1.0
622,white,31406.0,1086.0,550.0,535.0,0.52,0.22,0.76,0.54,2018,colorado,1.0
623,multi,2332.0,1066.0,540.0,525.0,0.47,0.26,0.72,0.49,2018,colorado,1.0
624,no_race,1527.0,918.0,468.0,449.0,0.19,0.58,0.4,0.21,2018,colorado,1.0
625,female,29375.0,1025.0,525.0,501.0,0.38,0.33,0.66,0.4,2018,colorado,1.0
626,male,29391.0,1025.0,513.0,511.0,0.42,0.36,0.61,0.44,2018,colorado,1.0
627,total,44700.0,1053.0,535.0,519.0,0.44,0.3,0.68,0.46,2018,connecticut,1.0
628,native,130.0,973.0,499.0,475.0,0.3,0.36,0.62,0.32,2018,connecticut,1.0
629,asian,2574.0,1216.0,592.0,624.0,0.72,0.12,0.84,0.76,2018,connecticut,1.0
630,black,5241.0,904.0,465.0,439.0,0.15,0.58,0.41,0.16,2018,connecticut,1.0
631,latino,8928.0,934.0,477.0,457.0,0.22,0.53,0.46,0.23,2018,connecticut,1.0
632,pacific,41.0,918.0,470.0,448.0,0.24,0.54,0.44,0.27,2018,connecticut,1.0
633,white,25555.0,1111.0,564.0,547.0,0.56,0.19,0.8,0.57,2018,connecticut,1.0
634,multi,1303.0,1092.0,556.0,536.0,0.48,0.24,0.75,0.49,2018,connecticut,1.0
635,no_race,928.0,975.0,498.0,478.0,0.31,0.45,0.54,0.32,2018,connecticut,1.0
636,female,22014.0,1058.0,543.0,515.0,0.44,0.28,0.71,0.44,2018,connecticut,1.0
637,male,22664.0,1049.0,527.0,522.0,0.45,0.33,0.65,0.47,2018,connecticut,1.0
638,total,11055.0,998.0,505.0,492.0,0.33,0.4,0.58,0.35,2018,delaware,1.0
639,native,69.0,906.0,461.0,444.0,0.17,0.57,0.42,0.19,2018,delaware,1.0
640,asian,453.0,1224.0,599.0,625.0,0.72,0.11,0.86,0.76,2018,delaware,1.0
641,black,2361.0,909.0,463.0,447.0,0.16,0.58,0.41,0.17,2018,delaware,1.0
642,latino,1467.0,928.0,471.0,458.0,0.19,0.55,0.43,0.21,2018,delaware,1.0
643,pacific,12.0,928.0,473.0,455.0,0.08,0.42,0.5,0.17,2018,delaware,1.0
644,white,5114.0,1072.0,544.0,528.0,0.47,0.24,0.74,0.49,2018,delaware,1.0
645,multi,575.0,992.0,505.0,487.0,0.29,0.39,0.6,0.29,2018,delaware,1.0
646,no_race,1004.0,836.0,423.0,413.0,0.08,0.74,0.25,0.09,2018,delaware,1.0
647,female,5490.0,1003.0,514.0,489.0,0.32,0.38,0.61,0.33,2018,delaware,1.0
648,male,5553.0,993.0,497.0,495.0,0.34,0.43,0.55,0.37,2018,delaware,1.0
649,total,4985.0,977.0,497.0,480.0,0.31,0.51,0.48,0.33,2018,district-columbia,0.92
650,native,24.0,772.0,380.0,392.0,0.0,0.92,0.0,0.08,2018,district-columbia,0.92
651,asian,121.0,1209.0,591.0,617.0,0.69,0.15,0.79,0.75,2018,district-columbia,0.92
652,black,2295.0,902.0,460.0,442.0,0.17,0.61,0.38,0.18,2018,district-columbia,0.92
653,latino,769.0,953.0,484.0,469.0,0.26,0.53,0.46,0.28,2018,district-columbia,0.92
654,pacific,5.0,,,,,,,,2018,district-columbia,0.92
655,white,858.0,1297.0,660.0,638.0,0.88,0.02,0.97,0.88,2018,district-columbia,0.92
656,multi,184.0,1097.0,557.0,540.0,0.48,0.33,0.66,0.5,2018,district-columbia,0.92
657,no_race,729.0,801.0,406.0,395.0,0.08,0.82,0.17,0.09,2018,district-columbia,0.92
658,female,2437.0,970.0,498.0,472.0,0.29,0.5,0.49,0.3,2018,district-columbia,0.92
659,male,2533.0,985.0,496.0,488.0,0.34,0.51,0.47,0.36,2018,district-columbia,0.92
660,total,176746.0,1014.0,522.0,493.0,0.35,0.35,0.64,0.37,2018,florida,0.56
661,native,1098.0,914.0,472.0,441.0,0.15,0.57,0.41,0.17,2018,florida,0.56
662,asian,6487.0,1152.0,569.0,583.0,0.63,0.17,0.79,0.67,2018,florida,0.56
663,black,35313.0,919.0,477.0,442.0,0.17,0.54,0.45,0.18,2018,florida,0.56
664,latino,56143.0,1005.0,518.0,486.0,0.32,0.35,0.64,0.34,2018,florida,0.56
665,pacific,325.0,948.0,484.0,464.0,0.23,0.5,0.49,0.24,2018,florida,0.56
666,white,63799.0,1077.0,552.0,525.0,0.48,0.22,0.76,0.49,2018,florida,0.56
667,multi,6142.0,1044.0,537.0,507.0,0.4,0.28,0.71,0.42,2018,florida,0.56
668,no_race,7439.0,875.0,457.0,418.0,0.12,0.65,0.34,0.13,2018,florida,0.56
669,female,92234.0,1015.0,527.0,488.0,0.34,0.33,0.67,0.35,2018,florida,0.56
670,male,84209.0,1015.0,517.0,498.0,0.37,0.37,0.61,0.39,2018,florida,0.56
671,total,74240.0,1064.0,542.0,522.0,0.44,0.24,0.74,0.45,2018,georgia,0.7
672,native,171.0,1035.0,531.0,504.0,0.42,0.25,0.73,0.43,2018,georgia,0.7
673,asian,4517.0,1212.0,591.0,621.0,0.74,0.11,0.85,0.78,2018,georgia,0.7
674,black,23743.0,965.0,495.0,470.0,0.22,0.42,0.57,0.23,2018,georgia,0.7
675,latino,8431.0,1029.0,523.0,506.0,0.36,0.3,0.68,0.38,2018,georgia,0.7
676,pacific,71.0,1053.0,535.0,518.0,0.44,0.23,0.77,0.44,2018,georgia,0.7
677,white,33027.0,1126.0,574.0,552.0,0.58,0.12,0.87,0.59,2018,georgia,0.7
678,multi,2730.0,1088.0,555.0,533.0,0.48,0.18,0.8,0.49,2018,georgia,0.7
679,no_race,1550.0,993.0,508.0,485.0,0.3,0.39,0.61,0.31,2018,georgia,0.7
680,female,41217.0,1053.0,541.0,511.0,0.4,0.25,0.74,0.41,2018,georgia,0.7
681,male,33011.0,1079.0,543.0,536.0,0.49,0.24,0.74,0.51,2018,georgia,0.7
682,total,7880.0,1099.0,550.0,549.0,0.54,0.18,0.79,0.57,2018,hawaii,0.56
683,native,7.0,,,,,,,,2018,hawaii,0.56
684,asian,2890.0,1129.0,556.0,573.0,0.62,0.16,0.8,0.66,2018,hawaii,0.56
685,black,96.0,1041.0,534.0,508.0,0.36,0.24,0.75,0.38,2018,hawaii,0.56
686,latino,1108.0,1067.0,541.0,526.0,0.45,0.2,0.78,0.48,2018,hawaii,0.56
687,pacific,753.0,989.0,497.0,492.0,0.3,0.37,0.61,0.32,2018,hawaii,0.56
688,white,820.0,1145.0,584.0,561.0,0.6,0.1,0.88,0.62,2018,hawaii,0.56
689,multi,2082.0,1103.0,555.0,548.0,0.55,0.16,0.81,0.58,2018,hawaii,0.56
690,no_race,124.0,1034.0,518.0,516.0,0.43,0.35,0.63,0.45,2018,hawaii,0.56
691,female,4427.0,1091.0,551.0,540.0,0.52,0.18,0.79,0.54,2018,hawaii,0.56
692,male,3452.0,1109.0,549.0,560.0,0.57,0.19,0.78,0.61,2018,hawaii,0.56
693,total,20484.0,1001.0,508.0,493.0,0.33,0.38,0.6,0.35,2018,idaho,1.0
694,native,281.0,896.0,453.0,443.0,0.14,0.67,0.32,0.15,2018,idaho,1.0
695,asian,303.0,1112.0,546.0,567.0,0.56,0.22,0.72,0.62,2018,idaho,1.0
696,black,194.0,912.0,464.0,448.0,0.15,0.55,0.42,0.18,2018,idaho,1.0
697,latino,2943.0,925.0,469.0,456.0,0.17,0.55,0.43,0.19,2018,idaho,1.0
698,pacific,61.0,958.0,484.0,474.0,0.25,0.46,0.54,0.25,2018,idaho,1.0
699,white,12837.0,1039.0,528.0,511.0,0.4,0.29,0.69,0.42,2018,idaho,1.0
700,multi,579.0,1049.0,535.0,513.0,0.39,0.26,0.72,0.41,2018,idaho,1.0
701,no_race,3286.0,921.0,467.0,454.0,0.17,0.55,0.43,0.19,2018,idaho,1.0
702,female,10067.0,1005.0,517.0,489.0,0.31,0.34,0.64,0.32,2018,idaho,1.0
703,male,10408.0,998.0,500.0,497.0,0.35,0.41,0.56,0.37,2018,idaho,1.0
704,total,145919.0,1019.0,513.0,506.0,0.38,0.38,0.6,0.4,2018,illinois,0.99
705,native,742.0,894.0,448.0,446.0,0.16,0.64,0.33,0.18,2018,illinois,0.99
706,asian,7008.0,1202.0,590.0,613.0,0.73,0.12,0.85,0.76,2018,illinois,0.99
707,black,15570.0,924.0,471.0,453.0,0.17,0.55,0.43,0.18,2018,illinois,0.99
708,latino,30404.0,969.0,488.0,481.0,0.27,0.46,0.52,0.29,2018,illinois,0.99
709,pacific,82.0,982.0,492.0,490.0,0.29,0.45,0.49,0.35,2018,illinois,0.99
710,white,56511.0,1113.0,560.0,554.0,0.57,0.18,0.8,0.59,2018,illinois,0.99
711,multi,4290.0,1069.0,540.0,529.0,0.46,0.27,0.71,0.48,2018,illinois,0.99
712,no_race,31312.0,899.0,453.0,445.0,0.15,0.62,0.36,0.17,2018,illinois,0.99
713,female,72719.0,1021.0,519.0,501.0,0.37,0.35,0.64,0.38,2018,illinois,0.99
714,male,73125.0,1017.0,506.0,511.0,0.39,0.4,0.57,0.42,2018,illinois,0.99
715,total,48962.0,1086.0,546.0,539.0,0.52,0.2,0.78,0.54,2018,indiana,0.63
716,native,121.0,1005.0,502.0,502.0,0.31,0.39,0.56,0.36,2018,indiana,0.63
717,asian,1612.0,1164.0,564.0,599.0,0.64,0.16,0.77,0.7,2018,indiana,0.63
718,black,4353.0,948.0,481.0,467.0,0.21,0.49,0.5,0.22,2018,indiana,0.63
719,latino,4632.0,1016.0,512.0,504.0,0.35,0.33,0.64,0.38,2018,indiana,0.63
720,pacific,29.0,1116.0,566.0,550.0,0.55,0.1,0.86,0.59,2018,indiana,0.63
721,white,35610.0,1110.0,559.0,551.0,0.58,0.14,0.84,0.6,2018,indiana,0.63
722,multi,1788.0,1079.0,546.0,533.0,0.48,0.2,0.78,0.5,2018,indiana,0.63
723,no_race,817.0,1035.0,524.0,511.0,0.4,0.3,0.68,0.43,2018,indiana,0.63
724,female,26975.0,1071.0,544.0,526.0,0.47,0.21,0.77,0.49,2018,indiana,0.63
725,male,21980.0,1104.0,549.0,555.0,0.58,0.18,0.79,0.61,2018,indiana,0.63
726,total,994.0,1265.0,634.0,631.0,0.81,0.05,0.93,0.82,2018,iowa,0.03
727,native,1.0,,,,,,,,2018,iowa,0.03
728,asian,161.0,1344.0,651.0,693.0,0.89,0.03,0.93,0.93,2018,iowa,0.03
729,black,38.0,1101.0,555.0,546.0,0.5,0.11,0.84,0.55,2018,iowa,0.03
730,latino,55.0,1105.0,562.0,543.0,0.53,0.2,0.76,0.56,2018,iowa,0.03
731,pacific,0.0,,,,,,,,2018,iowa,0.03
732,white,658.0,1270.0,641.0,628.0,0.82,0.04,0.95,0.83,2018,iowa,0.03
733,multi,55.0,1267.0,639.0,628.0,0.87,0.07,0.93,0.87,2018,iowa,0.03
734,no_race,26.0,1223.0,607.0,615.0,0.77,0.08,0.85,0.85,2018,iowa,0.03
735,female,523.0,1242.0,629.0,613.0,0.76,0.06,0.92,0.78,2018,iowa,0.03
736,male,471.0,1289.0,639.0,650.0,0.85,0.04,0.94,0.87,2018,iowa,0.03
737,total,1419.0,1265.0,633.0,631.0,0.8,0.05,0.93,0.83,2018,kansas,0.04
738,native,6.0,,,,,,,,2018,kansas,0.04
739,asian,265.0,1309.0,630.0,679.0,0.83,0.05,0.89,0.9,2018,kansas,0.04
740,black,63.0,1090.0,553.0,537.0,0.54,0.19,0.81,0.54,2018,kansas,0.04
741,latino,106.0,1206.0,614.0,592.0,0.7,0.09,0.9,0.71,2018,kansas,0.04
742,pacific,3.0,,,,,,,,2018,kansas,0.04
743,white,852.0,1274.0,643.0,630.0,0.84,0.03,0.96,0.85,2018,kansas,0.04
744,multi,86.0,1282.0,651.0,631.0,0.77,0.02,0.97,0.78,2018,kansas,0.04
745,no_race,38.0,1188.0,586.0,602.0,0.68,0.08,0.84,0.76,2018,kansas,0.04
746,female,739.0,1241.0,630.0,611.0,0.76,0.06,0.93,0.77,2018,kansas,0.04
747,male,680.0,1291.0,637.0,654.0,0.86,0.03,0.93,0.89,2018,kansas,0.04
748,total,1925.0,1248.0,630.0,618.0,0.78,0.05,0.94,0.79,2018,kentucky,0.04
749,native,6.0,,,,,,,,2018,kentucky,0.04
750,asian,228.0,1329.0,643.0,686.0,0.89,0.02,0.94,0.93,2018,kentucky,0.04
751,black,154.0,1060.0,544.0,516.0,0.4,0.27,0.71,0.42,2018,kentucky,0.04
752,latino,87.0,1176.0,605.0,572.0,0.63,0.05,0.93,0.66,2018,kentucky,0.04
753,pacific,1.0,,,,,,,,2018,kentucky,0.04
754,white,1346.0,1264.0,641.0,624.0,0.83,0.03,0.97,0.83,2018,kentucky,0.04
755,multi,65.0,1218.0,616.0,602.0,0.68,0.09,0.91,0.68,2018,kentucky,0.04
756,no_race,38.0,1167.0,596.0,572.0,0.58,0.11,0.87,0.61,2018,kentucky,0.04
757,female,1007.0,1219.0,624.0,595.0,0.73,0.05,0.94,0.74,2018,kentucky,0.04
758,male,918.0,1280.0,636.0,644.0,0.83,0.05,0.93,0.85,2018,kentucky,0.04
759,total,2027.0,1210.0,615.0,595.0,0.7,0.09,0.89,0.71,2018,louisiana,0.04
760,native,11.0,1104.0,576.0,527.0,0.36,0.09,0.91,0.36,2018,louisiana,0.04
761,asian,166.0,1291.0,630.0,661.0,0.83,0.07,0.89,0.87,2018,louisiana,0.04
762,black,355.0,1052.0,542.0,510.0,0.39,0.26,0.72,0.41,2018,louisiana,0.04
763,latino,152.0,1191.0,607.0,584.0,0.67,0.12,0.88,0.68,2018,louisiana,0.04
764,pacific,4.0,,,,,,,,2018,louisiana,0.04
765,white,1230.0,1249.0,636.0,614.0,0.77,0.05,0.95,0.78,2018,louisiana,0.04
766,multi,78.0,1254.0,641.0,613.0,0.82,0.03,0.97,0.82,2018,louisiana,0.04
767,no_race,31.0,1047.0,547.0,500.0,0.32,0.23,0.77,0.32,2018,louisiana,0.04
768,female,1156.0,1177.0,604.0,573.0,0.65,0.1,0.89,0.65,2018,louisiana,0.04
769,male,871.0,1253.0,629.0,624.0,0.76,0.09,0.9,0.78,2018,louisiana,0.04
770,total,14310.0,1013.0,512.0,501.0,0.36,0.36,0.61,0.38,2018,maine,0.99
771,native,162.0,904.0,458.0,446.0,0.15,0.63,0.36,0.17,2018,maine,0.99
772,asian,510.0,1164.0,540.0,624.0,0.61,0.14,0.72,0.75,2018,maine,0.99
773,black,393.0,907.0,458.0,449.0,0.13,0.59,0.37,0.17,2018,maine,0.99
774,latino,354.0,1007.0,513.0,494.0,0.34,0.37,0.62,0.35,2018,maine,0.99
775,pacific,5.0,,,,,,,,2018,maine,0.99
776,white,9890.0,1048.0,532.0,517.0,0.43,0.29,0.7,0.45,2018,maine,0.99
777,multi,372.0,1045.0,531.0,514.0,0.39,0.26,0.71,0.42,2018,maine,0.99
778,no_race,2624.0,872.0,442.0,430.0,0.11,0.67,0.32,0.13,2018,maine,0.99
779,female,6899.0,1021.0,523.0,499.0,0.35,0.32,0.66,0.37,2018,maine,0.99
780,male,7409.0,1006.0,502.0,504.0,0.37,0.4,0.57,0.4,2018,maine,0.99
781,total,48040.0,1080.0,545.0,535.0,0.49,0.26,0.72,0.51,2018,maryland,0.76
782,native,169.0,969.0,491.0,477.0,0.29,0.47,0.52,0.3,2018,maryland,0.76
783,asian,3995.0,1227.0,598.0,629.0,0.74,0.11,0.86,0.78,2018,maryland,0.76
784,black,14783.0,956.0,488.0,467.0,0.23,0.47,0.52,0.25,2018,maryland,0.76
785,latino,4791.0,1036.0,526.0,510.0,0.38,0.31,0.67,0.4,2018,maryland,0.76
786,pacific,47.0,1026.0,516.0,510.0,0.38,0.34,0.66,0.38,2018,maryland,0.76
787,white,20762.0,1152.0,580.0,572.0,0.66,0.13,0.85,0.67,2018,maryland,0.76
788,multi,2249.0,1112.0,563.0,548.0,0.54,0.2,0.79,0.55,2018,maryland,0.76
789,no_race,1244.0,1002.0,508.0,495.0,0.31,0.41,0.57,0.33,2018,maryland,0.76
790,female,25309.0,1071.0,547.0,525.0,0.46,0.25,0.73,0.47,2018,maryland,0.76
791,male,22721.0,1089.0,543.0,546.0,0.52,0.27,0.71,0.55,2018,maryland,0.76
792,total,59382.0,1125.0,562.0,563.0,0.6,0.18,0.79,0.62,2018,massachusetts,0.8
793,native,118.0,1048.0,529.0,519.0,0.42,0.25,0.72,0.45,2018,massachusetts,0.8
794,asian,5138.0,1240.0,594.0,646.0,0.76,0.1,0.84,0.82,2018,massachusetts,0.8
795,black,4777.0,973.0,488.0,485.0,0.29,0.45,0.52,0.32,2018,massachusetts,0.8
796,latino,8005.0,997.0,500.0,497.0,0.34,0.41,0.57,0.36,2018,massachusetts,0.8
797,pacific,48.0,1042.0,522.0,520.0,0.42,0.27,0.73,0.42,2018,massachusetts,0.8
798,white,37711.0,1159.0,582.0,577.0,0.68,0.11,0.88,0.69,2018,massachusetts,0.8
799,multi,1862.0,1147.0,575.0,572.0,0.62,0.16,0.82,0.63,2018,massachusetts,0.8
800,no_race,1723.0,1029.0,517.0,512.0,0.4,0.35,0.62,0.43,2018,massachusetts,0.8
801,female,31251.0,1112.0,561.0,550.0,0.56,0.19,0.8,0.58,2018,massachusetts,0.8
802,male,28125.0,1140.0,563.0,576.0,0.64,0.18,0.79,0.67,2018,massachusetts,0.8
803,total,115281.0,1011.0,511.0,499.0,0.36,0.38,0.61,0.38,2018,michigan,1.0
804,native,1371.0,877.0,444.0,433.0,0.1,0.69,0.29,0.12,2018,michigan,1.0
805,asian,4317.0,1174.0,571.0,603.0,0.65,0.18,0.76,0.71,2018,michigan,1.0
806,black,14926.0,878.0,450.0,429.0,0.11,0.66,0.33,0.12,2018,michigan,1.0
807,latino,10103.0,942.0,478.0,464.0,0.21,0.52,0.47,0.23,2018,michigan,1.0
808,pacific,125.0,940.0,477.0,463.0,0.22,0.54,0.46,0.22,2018,michigan,1.0
809,white,72578.0,1053.0,532.0,521.0,0.44,0.28,0.7,0.46,2018,michigan,1.0
810,multi,5283.0,1004.0,511.0,493.0,0.32,0.38,0.61,0.34,2018,michigan,1.0
811,no_race,6578.0,877.0,445.0,432.0,0.13,0.67,0.32,0.15,2018,michigan,1.0
812,female,57967.0,1014.0,519.0,495.0,0.34,0.34,0.64,0.36,2018,michigan,1.0
813,male,57286.0,1008.0,504.0,504.0,0.37,0.41,0.57,0.4,2018,michigan,1.0
814,total,2464.0,1298.0,643.0,655.0,0.86,0.03,0.95,0.88,2018,minnesota,0.04
815,native,2.0,,,,,,,,2018,minnesota,0.04
816,asian,513.0,1337.0,633.0,704.0,0.89,0.03,0.91,0.95,2018,minnesota,0.04
817,black,108.0,1155.0,580.0,575.0,0.63,0.05,0.9,0.69,2018,minnesota,0.04
818,latino,131.0,1213.0,611.0,603.0,0.76,0.06,0.9,0.8,2018,minnesota,0.04
819,pacific,5.0,,,,,,,,2018,minnesota,0.04
820,white,1520.0,1306.0,654.0,652.0,0.88,0.02,0.97,0.89,2018,minnesota,0.04
821,multi,120.0,1283.0,645.0,638.0,0.82,0.03,0.96,0.83,2018,minnesota,0.04
822,no_race,65.0,1252.0,625.0,627.0,0.78,0.11,0.88,0.8,2018,minnesota,0.04
823,female,1321.0,1272.0,637.0,635.0,0.83,0.04,0.94,0.85,2018,minnesota,0.04
824,male,1143.0,1328.0,649.0,679.0,0.9,0.02,0.95,0.92,2018,minnesota,0.04
825,total,806.0,1236.0,630.0,606.0,0.76,0.06,0.93,0.76,2018,mississippi,0.03
826,native,1.0,,,,,,,,2018,mississippi,0.03
827,asian,72.0,1329.0,650.0,679.0,0.88,0.03,0.93,0.92,2018,mississippi,0.03
828,black,165.0,1095.0,565.0,530.0,0.5,0.16,0.83,0.51,2018,mississippi,0.03
829,latino,33.0,1145.0,588.0,558.0,0.64,0.12,0.88,0.64,2018,mississippi,0.03
830,pacific,0.0,,,,,,,,2018,mississippi,0.03
831,white,495.0,1283.0,655.0,628.0,0.85,0.02,0.97,0.86,2018,mississippi,0.03
832,multi,27.0,1153.0,601.0,552.0,0.52,0.04,0.96,0.52,2018,mississippi,0.03
833,no_race,13.0,1108.0,568.0,540.0,0.46,0.23,0.77,0.46,2018,mississippi,0.03
834,female,469.0,1200.0,618.0,582.0,0.71,0.07,0.92,0.71,2018,mississippi,0.03
835,male,337.0,1287.0,648.0,639.0,0.82,0.04,0.95,0.83,2018,mississippi,0.03
836,total,2420.0,1262.0,633.0,629.0,0.79,0.06,0.93,0.8,2018,missouri,0.04
837,native,5.0,,,,,,,,2018,missouri,0.04
838,asian,358.0,1346.0,645.0,701.0,0.88,0.03,0.94,0.91,2018,missouri,0.04
839,black,212.0,1069.0,549.0,521.0,0.48,0.22,0.76,0.5,2018,missouri,0.04
840,latino,157.0,1198.0,609.0,589.0,0.72,0.11,0.89,0.73,2018,missouri,0.04
841,pacific,2.0,,,,,,,,2018,missouri,0.04
842,white,1509.0,1278.0,645.0,633.0,0.82,0.04,0.96,0.83,2018,missouri,0.04
843,multi,124.0,1272.0,637.0,634.0,0.84,0.03,0.96,0.85,2018,missouri,0.04
844,no_race,53.0,1177.0,585.0,592.0,0.64,0.13,0.83,0.68,2018,missouri,0.04
845,female,1255.0,1236.0,628.0,608.0,0.74,0.06,0.93,0.75,2018,missouri,0.04
846,male,1165.0,1290.0,638.0,653.0,0.85,0.05,0.93,0.86,2018,missouri,0.04
847,total,952.0,1198.0,606.0,592.0,0.75,0.05,0.93,0.77,2018,montana,0.1
848,native,14.0,1061.0,544.0,518.0,0.36,0.14,0.86,0.36,2018,montana,0.1
849,asian,25.0,1224.0,588.0,636.0,0.76,0.04,0.84,0.88,2018,montana,0.1
850,black,9.0,,,,,,,,2018,montana,0.1
851,latino,38.0,1127.0,565.0,562.0,0.53,0.16,0.82,0.55,2018,montana,0.1
852,pacific,0.0,,,,,,,,2018,montana,0.1
853,white,776.0,1205.0,609.0,596.0,0.78,0.05,0.94,0.78,2018,montana,0.1
854,multi,36.0,1156.0,582.0,574.0,0.67,0.08,0.89,0.69,2018,montana,0.1
855,no_race,54.0,1219.0,634.0,584.0,0.76,0.02,0.98,0.76,2018,montana,0.1
856,female,540.0,1182.0,605.0,576.0,0.71,0.05,0.94,0.72,2018,montana,0.1
857,male,412.0,1220.0,606.0,614.0,0.81,0.06,0.92,0.82,2018,montana,0.1
858,total,688.0,1252.0,629.0,623.0,0.77,0.06,0.92,0.79,2018,nebraska,0.03
859,native,1.0,,,,,,,,2018,nebraska,0.03
860,asian,106.0,1337.0,637.0,699.0,0.88,0.02,0.92,0.94,2018,nebraska,0.03
861,black,36.0,1021.0,528.0,493.0,0.39,0.28,0.72,0.39,2018,nebraska,0.03
862,latino,57.0,1194.0,609.0,585.0,0.67,0.09,0.88,0.7,2018,nebraska,0.03
863,pacific,0.0,,,,,,,,2018,nebraska,0.03
864,white,433.0,1262.0,637.0,624.0,0.79,0.05,0.94,0.8,2018,nebraska,0.03
865,multi,37.0,1240.0,638.0,602.0,0.76,0.03,0.97,0.76,2018,nebraska,0.03
866,no_race,18.0,1201.0,623.0,578.0,0.78,0.11,0.89,0.78,2018,nebraska,0.03
867,female,372.0,1231.0,626.0,605.0,0.76,0.06,0.92,0.77,2018,nebraska,0.03
868,male,316.0,1277.0,632.0,645.0,0.78,0.06,0.91,0.81,2018,nebraska,0.03
869,total,5588.0,1140.0,574.0,566.0,0.63,0.11,0.87,0.65,2018,nevada,0.23
870,native,30.0,1090.0,558.0,532.0,0.5,0.17,0.8,0.53,2018,nevada,0.23
871,asian,866.0,1185.0,583.0,602.0,0.71,0.06,0.9,0.75,2018,nevada,0.23
872,black,352.0,1028.0,525.0,503.0,0.32,0.27,0.71,0.34,2018,nevada,0.23
873,latino,1513.0,1088.0,552.0,536.0,0.53,0.18,0.8,0.54,2018,nevada,0.23
874,pacific,50.0,1036.0,519.0,517.0,0.5,0.26,0.72,0.52,2018,nevada,0.23
875,white,2294.0,1177.0,594.0,584.0,0.71,0.06,0.93,0.72,2018,nevada,0.23
876,multi,409.0,1150.0,584.0,566.0,0.65,0.07,0.91,0.67,2018,nevada,0.23
877,no_race,74.0,1097.0,558.0,539.0,0.5,0.16,0.82,0.51,2018,nevada,0.23
878,female,3163.0,1117.0,570.0,547.0,0.56,0.12,0.87,0.58,2018,nevada,0.23
879,male,2425.0,1170.0,581.0,590.0,0.71,0.1,0.87,0.74,2018,nevada,0.23
880,total,14834.0,1063.0,535.0,528.0,0.46,0.28,0.7,0.49,2018,new-hampshire,0.96
881,native,95.0,906.0,453.0,453.0,0.18,0.56,0.4,0.22,2018,new-hampshire,0.96
882,asian,560.0,1238.0,596.0,642.0,0.76,0.11,0.84,0.8,2018,new-hampshire,0.96
883,black,217.0,1019.0,513.0,506.0,0.33,0.36,0.6,0.36,2018,new-hampshire,0.96
884,latino,990.0,988.0,500.0,488.0,0.3,0.41,0.57,0.32,2018,new-hampshire,0.96
885,pacific,7.0,,,,,,,,2018,new-hampshire,0.96
886,white,9997.0,1096.0,553.0,544.0,0.54,0.2,0.78,0.56,2018,new-hampshire,0.96
887,multi,363.0,1119.0,565.0,554.0,0.54,0.2,0.79,0.55,2018,new-hampshire,0.96
888,no_race,2605.0,925.0,467.0,457.0,0.18,0.55,0.43,0.21,2018,new-hampshire,0.96
889,female,7196.0,1064.0,541.0,523.0,0.45,0.26,0.73,0.47,2018,new-hampshire,0.96
