,categories,test_takers,total_mean,erw_mean,math_mean,met_both,met_neither,erw_met,math_met,year,state,participation,diff_to_ave
1359,white,1253.0,1247.0,635.0,612.0,0.79,0.05,0.95,0.79,2019,louisiana,0.05,47.0
1360,multi,81.0,1211.0,622.0,588.0,0.69,0.09,0.91,0.69,2019,louisiana,0.05,11.0
1361,no_race,42.0,1068.0,547.0,521.0,0.43,0.24,0.74,0.45,2019,louisiana,0.05,-132.0
1362,female,1246.0,1175.0,603.0,572.0,0.65,0.12,0.88,0.65,2019,louisiana,0.05,-25.0
1363,male,945.0,1233.0,618.0,615.0,0.76,0.1,0.88,0.77,2019,louisiana,0.05,33.0
1364,total,14210.0,1013.0,512.0,502.0,0.36,0.37,0.61,0.38,2019,maine,0.99,0.0
1365,native,274.0,868.0,437.0,431.0,0.11,0.71,0.27,0.14,2019,maine,0.99,-145.0
1366,asian,544.0,1164.0,548.0,617.0,0.65,0.18,0.73,0.74,2019,maine,0.99,151.0
1367,black,369.0,900.0,455.0,445.0,0.15,0.63,0.35,0.16,2019,maine,0.99,-113.0
1368,latino,480.0,978.0,497.0,482.0,0.29,0.44,0.55,0.31,2019,maine,0.99,-35.0
1369,pacific,22.0,873.0,436.0,436.0,0.09,0.64,0.32,0.14,2019,maine,0.99,-140.0
1370,white,10345.0,1038.0,526.0,512.0,0.41,0.31,0.67,0.43,2019,maine,0.99,25.0
1371,multi,455.0,1024.0,521.0,502.0,0.36,0.33,0.66,0.36,2019,maine,0.99,11.0
1372,no_race,1721.0,876.0,445.0,432.0,0.12,0.66,0.31,0.14,2019,maine,0.99,-137.0
1373,female,6878.0,1017.0,519.0,498.0,0.35,0.35,0.64,0.36,2019,maine,0.99,4.0
1374,male,7324.0,1011.0,505.0,505.0,0.37,0.39,0.58,0.4,2019,maine,0.99,-2.0
1375,total,51094.0,1058.0,535.0,523.0,0.45,0.31,0.67,0.47,2019,maryland,0.82,0.0
1376,native,215.0,911.0,461.0,450.0,0.22,0.58,0.41,0.22,2019,maryland,0.82,-147.0
1377,asian,4186.0,1223.0,598.0,625.0,0.74,0.12,0.85,0.76,2019,maryland,0.82,165.0
1378,black,15517.0,937.0,479.0,458.0,0.21,0.52,0.47,0.22,2019,maryland,0.82,-121.0
1379,latino,6049.0,998.0,507.0,491.0,0.32,0.4,0.58,0.34,2019,maryland,0.82,-60.0
1380,pacific,46.0,975.0,492.0,483.0,0.3,0.5,0.5,0.3,2019,maryland,0.82,-83.0
1381,white,20571.0,1142.0,576.0,566.0,0.63,0.15,0.83,0.64,2019,maryland,0.82,84.0
1382,multi,2732.0,1087.0,552.0,535.0,0.49,0.23,0.76,0.5,2019,maryland,0.82,29.0
1383,no_race,1778.0,931.0,473.0,459.0,0.22,0.58,0.41,0.23,2019,maryland,0.82,-127.0
1384,female,26602.0,1056.0,539.0,517.0,0.43,0.3,0.69,0.44,2019,maryland,0.82,-2.0
1385,male,24434.0,1060.0,530.0,530.0,0.47,0.33,0.65,0.49,2019,maryland,0.82,2.0
1386,total,59671.0,1120.0,559.0,561.0,0.58,0.2,0.77,0.6,2019,massachusetts,0.81,0.0
1387,native,180.0,985.0,493.0,493.0,0.33,0.41,0.57,0.35,2019,massachusetts,0.81,-135.0
1388,asian,5342.0,1244.0,597.0,647.0,0.76,0.11,0.84,0.82,2019,massachusetts,0.81,124.0
1389,black,4762.0,969.0,485.0,484.0,0.28,0.47,0.5,0.31,2019,massachusetts,0.81,-151.0
1390,latino,8442.0,997.0,499.0,498.0,0.33,0.42,0.55,0.36,2019,massachusetts,0.81,-123.0
1391,pacific,31.0,1017.0,504.0,513.0,0.35,0.52,0.48,0.35,2019,massachusetts,0.81,-103.0
1392,white,36647.0,1158.0,581.0,577.0,0.67,0.12,0.87,0.68,2019,massachusetts,0.81,38.0
1393,multi,2136.0,1140.0,571.0,569.0,0.6,0.18,0.8,0.62,2019,massachusetts,0.81,20.0
1394,no_race,2131.0,985.0,494.0,491.0,0.33,0.47,0.51,0.35,2019,massachusetts,0.81,-135.0
1395,female,31536.0,1108.0,559.0,549.0,0.55,0.21,0.78,0.56,2019,massachusetts,0.81,-12.0
1396,male,28093.0,1135.0,561.0,574.0,0.62,0.2,0.77,0.65,2019,massachusetts,0.81,15.0
1397,total,113724.0,1003.0,507.0,496.0,0.35,0.4,0.58,0.37,2019,michigan,1.0,0.0
1398,native,1676.0,859.0,436.0,423.0,0.11,0.71,0.27,0.12,2019,michigan,1.0,-144.0
1399,asian,4529.0,1159.0,563.0,596.0,0.61,0.22,0.72,0.67,2019,michigan,1.0,156.0
1400,black,15180.0,864.0,442.0,422.0,0.1,0.7,0.29,0.11,2019,michigan,1.0,-139.0
1401,latino,10497.0,936.0,476.0,460.0,0.21,0.53,0.45,0.23,2019,michigan,1.0,-67.0
1402,pacific,153.0,887.0,453.0,434.0,0.15,0.64,0.33,0.18,2019,michigan,1.0,-116.0
1403,white,73174.0,1040.0,525.0,515.0,0.42,0.31,0.67,0.45,2019,michigan,1.0,37.0
1404,multi,5184.0,1005.0,511.0,494.0,0.33,0.39,0.59,0.35,2019,michigan,1.0,2.0
1405,no_race,3331.0,894.0,455.0,439.0,0.18,0.63,0.36,0.2,2019,michigan,1.0,-109.0
1406,female,56863.0,1004.0,512.0,492.0,0.34,0.37,0.61,0.36,2019,michigan,1.0,1.0
1407,male,56833.0,1002.0,501.0,501.0,0.36,0.42,0.55,0.39,2019,michigan,1.0,-1.0
1408,total,2567.0,1284.0,636.0,648.0,0.85,0.04,0.94,0.87,2019,minnesota,0.04,0.0
1409,native,4.0,,,,,,,,2019,minnesota,0.04,
1410,asian,554.0,1321.0,628.0,693.0,0.88,0.03,0.91,0.94,2019,minnesota,0.04,37.0
1411,black,112.0,1134.0,570.0,564.0,0.55,0.15,0.81,0.59,2019,minnesota,0.04,-150.0
1412,latino,151.0,1201.0,603.0,597.0,0.73,0.05,0.93,0.75,2019,minnesota,0.04,-83.0
1413,pacific,4.0,,,,,,,,2019,minnesota,0.04,
1414,white,1532.0,1293.0,647.0,646.0,0.88,0.03,0.97,0.89,2019,minnesota,0.04,9.0
1415,multi,143.0,1300.0,652.0,647.0,0.86,0.05,0.95,0.86,2019,minnesota,0.04,16.0
1416,no_race,67.0,1193.0,590.0,603.0,0.63,0.12,0.81,0.7,2019,minnesota,0.04,-91.0
1417,female,1360.0,1262.0,632.0,631.0,0.83,0.04,0.94,0.84,2019,minnesota,0.04,-22.0
1418,male,1207.0,1308.0,641.0,667.0,0.87,0.03,0.94,0.9,2019,minnesota,0.04,24.0
1419,total,781.0,1237.0,628.0,608.0,0.73,0.08,0.91,0.74,2019,mississippi,0.03,0.0
1420,native,1.0,,,,,,,,2019,mississippi,0.03,
1421,asian,69.0,1301.0,631.0,671.0,0.78,0.03,0.88,0.87,2019,mississippi,0.03,64.0
1422,black,137.0,1070.0,556.0,515.0,0.43,0.2,0.8,0.43,2019,mississippi,0.03,-167.0
1423,latino,44.0,1169.0,600.0,569.0,0.68,0.14,0.86,0.68,2019,mississippi,0.03,-68.0
1424,pacific,1.0,,,,,,,,2019,mississippi,0.03,
1425,white,464.0,1288.0,654.0,634.0,0.83,0.04,0.95,0.84,2019,mississippi,0.03,51.0
1426,multi,43.0,1234.0,630.0,605.0,0.7,0.05,0.95,0.7,2019,mississippi,0.03,-3.0
1427,no_race,22.0,1115.0,586.0,529.0,0.5,0.14,0.86,0.5,2019,mississippi,0.03,-122.0
1428,female,430.0,1208.0,620.0,588.0,0.66,0.09,0.9,0.67,2019,mississippi,0.03,-29.0
1429,male,351.0,1272.0,639.0,633.0,0.81,0.06,0.93,0.83,2019,mississippi,0.03,35.0
1430,total,2644.0,1236.0,622.0,614.0,0.77,0.08,0.91,0.78,2019,missouri,0.04,0.0
1431,native,6.0,,,,,,,,2019,missouri,0.04,
1432,asian,358.0,1328.0,640.0,688.0,0.87,0.04,0.91,0.91,2019,missouri,0.04,92.0
1433,black,244.0,1051.0,536.0,516.0,0.41,0.25,0.72,0.43,2019,missouri,0.04,-185.0
1434,latino,159.0,1190.0,598.0,592.0,0.72,0.12,0.86,0.74,2019,missouri,0.04,-46.0
1435,pacific,4.0,,,,,,,,2019,missouri,0.04,
1436,white,1652.0,1258.0,637.0,621.0,0.83,0.04,0.95,0.83,2019,missouri,0.04,22.0
1437,multi,144.0,1205.0,611.0,594.0,0.74,0.12,0.88,0.74,2019,missouri,0.04,-31.0
1438,no_race,77.0,1093.0,556.0,536.0,0.43,0.26,0.71,0.45,2019,missouri,0.04,-143.0
1439,female,1409.0,1212.0,618.0,594.0,0.74,0.08,0.91,0.75,2019,missouri,0.04,-24.0
1440,male,1234.0,1264.0,625.0,638.0,0.81,0.07,0.91,0.83,2019,missouri,0.04,28.0
1441,total,880.0,1199.0,603.0,596.0,0.75,0.06,0.92,0.77,2019,montana,0.09,0.0
1442,native,2.0,,,,,,,,2019,montana,0.09,
1443,asian,30.0,1156.0,552.0,604.0,0.53,0.07,0.77,0.7,2019,montana,0.09,-43.0
1444,black,3.0,,,,,,,,2019,montana,0.09,
1445,latino,49.0,1157.0,582.0,574.0,0.67,0.1,0.9,0.67,2019,montana,0.09,-42.0
1446,pacific,0.0,,,,,,,,2019,montana,0.09,
1447,white,716.0,1207.0,607.0,600.0,0.78,0.05,0.93,0.79,2019,montana,0.09,8.0
1448,multi,45.0,1171.0,595.0,576.0,0.67,0.11,0.87,0.69,2019,montana,0.09,-28.0
1449,no_race,35.0,1190.0,606.0,584.0,0.71,0.03,0.94,0.74,2019,montana,0.09,-9.0
1450,female,502.0,1181.0,600.0,581.0,0.7,0.06,0.92,0.71,2019,montana,0.09,-18.0
1451,male,377.0,1223.0,607.0,616.0,0.82,0.06,0.92,0.85,2019,montana,0.09,24.0
1452,total,714.0,1260.0,628.0,631.0,0.8,0.06,0.91,0.82,2019,nebraska,0.03,0.0
1453,native,1.0,,,,,,,,2019,nebraska,0.03,
1454,asian,126.0,1319.0,624.0,695.0,0.87,0.02,0.91,0.93,2019,nebraska,0.03,59.0
1455,black,53.0,1108.0,563.0,545.0,0.55,0.25,0.75,0.55,2019,nebraska,0.03,-152.0
1456,latino,47.0,1140.0,575.0,565.0,0.62,0.11,0.85,0.66,2019,nebraska,0.03,-120.0
1457,pacific,0.0,,,,,,,,2019,nebraska,0.03,
1458,white,417.0,1285.0,648.0,637.0,0.85,0.03,0.95,0.87,2019,nebraska,0.03,25.0
1459,multi,51.0,1213.0,615.0,597.0,0.73,0.08,0.9,0.75,2019,nebraska,0.03,-47.0
1460,no_race,19.0,1182.0,592.0,589.0,0.63,0.21,0.74,0.68,2019,nebraska,0.03,-78.0
1461,female,379.0,1236.0,624.0,612.0,0.78,0.06,0.92,0.8,2019,nebraska,0.03,-24.0
1462,male,335.0,1287.0,634.0,653.0,0.82,0.06,0.9,0.86,2019,nebraska,0.03,27.0
1463,total,4957.0,1156.0,580.0,576.0,0.66,0.1,0.88,0.69,2019,nevada,0.2,0.0
1464,native,20.0,1058.0,534.0,524.0,0.45,0.2,0.7,0.55,2019,nevada,0.2,-98.0
1465,asian,858.0,1209.0,590.0,619.0,0.76,0.07,0.88,0.82,2019,nevada,0.2,53.0
1466,black,347.0,1042.0,530.0,513.0,0.39,0.25,0.72,0.42,2019,nevada,0.2,-114.0
1467,latino,1217.0,1101.0,557.0,544.0,0.54,0.16,0.82,0.56,2019,nevada,0.2,-55.0
1468,pacific,46.0,1063.0,541.0,522.0,0.43,0.2,0.76,0.48,2019,nevada,0.2,-93.0
1469,white,1940.0,1191.0,600.0,591.0,0.76,0.06,0.93,0.77,2019,nevada,0.2,35.0
1470,multi,450.0,1160.0,585.0,575.0,0.66,0.06,0.93,0.68,2019,nevada,0.2,4.0
1471,no_race,79.0,1131.0,572.0,559.0,0.62,0.16,0.84,0.62,2019,nevada,0.2,-25.0
1472,female,2867.0,1138.0,577.0,561.0,0.62,0.11,0.87,0.64,2019,nevada,0.2,-18.0
1473,male,2090.0,1181.0,585.0,597.0,0.72,0.09,0.88,0.75,2019,nevada,0.2,25.0
1474,total,14464.0,1059.0,533.0,526.0,0.45,0.28,0.69,0.47,2019,new-hampshire,0.95,0.0
1475,native,138.0,900.0,452.0,448.0,0.14,0.65,0.34,0.15,2019,new-hampshire,0.95,-159.0
1476,asian,630.0,1207.0,579.0,628.0,0.68,0.14,0.79,0.76,2019,new-hampshire,0.95,148.0
1477,black,238.0,1017.0,511.0,507.0,0.37,0.4,0.58,0.39,2019,new-hampshire,0.95,-42.0
1478,latino,800.0,1010.0,510.0,500.0,0.35,0.38,0.6,0.37,2019,new-hampshire,0.95,-49.0
1479,pacific,7.0,,,,,,,,2019,new-hampshire,0.95,
1480,white,9898.0,1088.0,549.0,539.0,0.51,0.21,0.77,0.53,2019,new-hampshire,0.95,29.0
1481,multi,448.0,1082.0,547.0,535.0,0.47,0.23,0.75,0.49,2019,new-hampshire,0.95,23.0
1482,no_race,2305.0,917.0,463.0,453.0,0.17,0.57,0.41,0.19,2019,new-hampshire,0.95,-142.0
1483,female,7153.0,1062.0,541.0,521.0,0.44,0.26,0.73,0.46,2019,new-hampshire,0.95,3.0
1484,male,7303.0,1056.0,525.0,530.0,0.46,0.31,0.66,0.49,2019,new-hampshire,0.95,-3.0
1485,total,84602.0,1090.0,544.0,545.0,0.52,0.26,0.72,0.54,2019,new-jersey,0.82,0.0
1486,native,198.0,937.0,467.0,470.0,0.26,0.57,0.41,0.28,2019,new-jersey,0.82,-153.0
1487,asian,9667.0,1269.0,615.0,654.0,0.81,0.09,0.89,0.84,2019,new-jersey,0.82,179.0
1488,black,10062.0,947.0,479.0,468.0,0.23,0.51,0.47,0.25,2019,new-jersey,0.82,-143.0
1489,latino,21027.0,986.0,496.0,490.0,0.32,0.42,0.55,0.34,2019,new-jersey,0.82,-104.0
1490,pacific,82.0,996.0,502.0,495.0,0.35,0.43,0.56,0.37,2019,new-jersey,0.82,-94.0
1491,white,37897.0,1148.0,574.0,573.0,0.65,0.13,0.85,0.67,2019,new-jersey,0.82,58.0
1492,multi,2779.0,1122.0,563.0,558.0,0.56,0.19,0.79,0.58,2019,new-jersey,0.82,32.0
1493,no_race,2890.0,965.0,486.0,480.0,0.31,0.52,0.46,0.33,2019,new-jersey,0.82,-125.0
1494,female,43972.0,1080.0,545.0,535.0,0.49,0.26,0.73,0.51,2019,new-jersey,0.82,-10.0
1495,male,40569.0,1101.0,544.0,557.0,0.55,0.26,0.71,0.58,2019,new-jersey,0.82,11.0
1496,total,3705.0,1073.0,543.0,530.0,0.46,0.28,0.71,0.48,2019,new-mexico,0.18,0.0
1497,native,97.0,957.0,477.0,480.0,0.19,0.52,0.46,0.21,2019,new-mexico,0.18,-116.0
1498,asian,182.0,1219.0,592.0,627.0,0.71,0.12,0.84,0.76,2019,new-mexico,0.18,146.0
1499,black,76.0,1033.0,518.0,514.0,0.45,0.37,0.62,0.46,2019,new-mexico,0.18,-40.0
1500,latino,1842.0,1010.0,511.0,499.0,0.35,0.37,0.61,0.37,2019,new-mexico,0.18,-63.0
1501,pacific,2.0,,,,,,,,2019,new-mexico,0.18,
1502,white,1286.0,1150.0,585.0,565.0,0.61,0.14,0.85,0.62,2019,new-mexico,0.18,77.0
1503,multi,140.0,1149.0,581.0,568.0,0.62,0.16,0.84,0.63,2019,new-mexico,0.18,76.0
1504,no_race,80.0,987.0,505.0,483.0,0.3,0.44,0.56,0.3,2019,new-mexico,0.18,-86.0
1505,female,2043.0,1064.0,543.0,521.0,0.43,0.28,0.71,0.44,2019,new-mexico,0.18,-9.0
1506,male,1660.0,1084.0,542.0,543.0,0.51,0.27,0.7,0.53,2019,new-mexico,0.18,11.0
1507,total,162179.0,1064.0,531.0,533.0,0.48,0.29,0.68,0.51,2019,new-york,0.79,0.0
1508,native,820.0,930.0,465.0,465.0,0.22,0.53,0.42,0.26,2019,new-york,0.79,-134.0
1509,asian,17980.0,1184.0,568.0,616.0,0.68,0.16,0.78,0.75,2019,new-york,0.79,120.0
1510,black,23228.0,944.0,479.0,466.0,0.22,0.51,0.47,0.24,2019,new-york,0.79,-120.0
1511,latino,41100.0,975.0,491.0,484.0,0.29,0.44,0.53,0.32,2019,new-york,0.79,-89.0
1512,pacific,221.0,1000.0,501.0,499.0,0.37,0.41,0.57,0.39,2019,new-york,0.79,-64.0
1513,white,64557.0,1151.0,574.0,577.0,0.67,0.12,0.86,0.7,2019,new-york,0.79,87.0
1514,multi,4688.0,1120.0,562.0,557.0,0.57,0.19,0.79,0.59,2019,new-york,0.79,56.0
1515,no_race,9585.0,911.0,457.0,455.0,0.21,0.61,0.37,0.24,2019,new-york,0.79,-153.0
1516,female,84329.0,1061.0,534.0,527.0,0.47,0.28,0.69,0.49,2019,new-york,0.79,-3.0
1517,male,77691.0,1068.0,528.0,541.0,0.5,0.31,0.66,0.53,2019,new-york,0.79,4.0
1518,total,54462.0,1100.0,554.0,546.0,0.53,0.21,0.77,0.55,2019,north-carolina,0.51,0.0
1519,native,389.0,981.0,494.0,487.0,0.25,0.41,0.56,0.28,2019,north-carolina,0.51,-119.0
1520,asian,2859.0,1245.0,605.0,640.0,0.78,0.09,0.87,0.81,2019,north-carolina,0.51,145.0
1521,black,11285.0,960.0,485.0,475.0,0.22,0.48,0.5,0.24,2019,north-carolina,0.51,-140.0
1522,latino,6050.0,1046.0,527.0,519.0,0.42,0.28,0.69,0.45,2019,north-carolina,0.51,-54.0
1523,pacific,39.0,1075.0,543.0,533.0,0.44,0.15,0.79,0.49,2019,north-carolina,0.51,-25.0
1524,white,30052.0,1154.0,583.0,571.0,0.66,0.1,0.88,0.68,2019,north-carolina,0.51,54.0
1525,multi,2736.0,1088.0,550.0,537.0,0.49,0.22,0.76,0.51,2019,north-carolina,0.51,-12.0
1526,no_race,1052.0,1033.0,522.0,511.0,0.38,0.35,0.63,0.4,2019,north-carolina,0.51,-67.0
1527,female,30251.0,1089.0,553.0,535.0,0.5,0.21,0.77,0.51,2019,north-carolina,0.51,-11.0
1528,male,24202.0,1114.0,555.0,559.0,0.58,0.21,0.76,0.61,2019,north-carolina,0.51,14.0
1529,total,149.0,1263.0,627.0,636.0,0.83,0.05,0.91,0.87,2019,north-dakota,0.02,0.0
1530,native,0.0,,,,,,,,2019,north-dakota,0.02,
1531,asian,10.0,1335.0,630.0,705.0,0.8,0.0,0.8,1.0,2019,north-dakota,0.02,72.0
1532,black,6.0,,,,,,,,2019,north-dakota,0.02,
1533,latino,6.0,,,,,,,,2019,north-dakota,0.02,
1534,pacific,0.0,,,,,,,,2019,north-dakota,0.02,
1535,white,115.0,1277.0,634.0,642.0,0.86,0.03,0.94,0.89,2019,north-dakota,0.02,14.0
1536,multi,8.0,,,,,,,,2019,north-dakota,0.02,
1537,no_race,4.0,,,,,,,,2019,north-dakota,0.02,
1538,female,79.0,1242.0,622.0,620.0,0.8,0.06,0.9,0.84,2019,north-dakota,0.02,-21.0
1539,male,70.0,1286.0,633.0,653.0,0.87,0.04,0.93,0.9,2019,north-dakota,0.02,23.0
1540,total,22904.0,1097.0,550.0,548.0,0.53,0.26,0.72,0.56,2019,ohio,0.19,0.0
1541,native,114.0,884.0,438.0,445.0,0.11,0.69,0.28,0.14,2019,ohio,0.19,-213.0
1542,asian,1534.0,1275.0,614.0,661.0,0.8,0.09,0.85,0.86,2019,ohio,0.19,178.0
1543,black,3566.0,912.0,462.0,450.0,0.17,0.6,0.38,0.19,2019,ohio,0.19,-185.0
1544,latino,1549.0,1017.0,514.0,503.0,0.37,0.39,0.6,0.39,2019,ohio,0.19,-80.0
1545,pacific,22.0,912.0,447.0,465.0,0.14,0.55,0.41,0.18,2019,ohio,0.19,-185.0
1546,white,14077.0,1148.0,576.0,572.0,0.64,0.16,0.82,0.66,2019,ohio,0.19,51.0
1547,multi,1086.0,1086.0,547.0,539.0,0.5,0.26,0.72,0.52,2019,ohio,0.19,-11.0
1548,no_race,956.0,928.0,468.0,460.0,0.22,0.59,0.39,0.24,2019,ohio,0.19,-169.0
1549,female,11860.0,1091.0,552.0,539.0,0.51,0.25,0.73,0.53,2019,ohio,0.19,-6.0
1550,male,11041.0,1104.0,548.0,557.0,0.56,0.27,0.7,0.59,2019,ohio,0.19,7.0
1551,total,9272.0,963.0,490.0,472.0,0.27,0.49,0.49,0.29,2019,oklahoma,0.22,0.0
1552,native,436.0,902.0,462.0,439.0,0.16,0.61,0.38,0.18,2019,oklahoma,0.22,-61.0
1553,asian,431.0,1115.0,550.0,565.0,0.54,0.26,0.69,0.58,2019,oklahoma,0.22,152.0
1554,black,1417.0,843.0,429.0,413.0,0.07,0.76,0.23,0.08,2019,oklahoma,0.22,-120.0
1555,latino,1873.0,904.0,459.0,444.0,0.17,0.61,0.37,0.18,2019,oklahoma,0.22,-59.0
1556,pacific,21.0,837.0,425.0,412.0,0.14,0.76,0.24,0.14,2019,oklahoma,0.22,-126.0
1557,white,3648.0,1039.0,531.0,508.0,0.4,0.32,0.67,0.41,2019,oklahoma,0.22,76.0
1558,multi,906.0,1005.0,513.0,492.0,0.34,0.41,0.58,0.35,2019,oklahoma,0.22,42.0
1559,no_race,540.0,828.0,423.0,405.0,0.08,0.78,0.21,0.09,2019,oklahoma,0.22,-135.0
1560,female,4713.0,965.0,497.0,468.0,0.26,0.47,0.52,0.27,2019,oklahoma,0.22,2.0
1561,male,4544.0,961.0,484.0,476.0,0.28,0.52,0.46,0.31,2019,oklahoma,0.22,-2.0
1562,total,18625.0,1112.0,562.0,550.0,0.55,0.18,0.8,0.58,2019,oregon,0.51,0.0
1563,native,172.0,993.0,497.0,496.0,0.34,0.38,0.58,0.38,2019,oregon,0.51,-119.0
1564,asian,1546.0,1200.0,583.0,617.0,0.71,0.13,0.82,0.76,2019,oregon,0.51,88.0
1565,black,356.0,970.0,492.0,478.0,0.27,0.46,0.53,0.28,2019,oregon,0.51,-142.0
1566,latino,3097.0,1010.0,510.0,500.0,0.34,0.36,0.62,0.36,2019,oregon,0.51,-102.0
1567,pacific,84.0,942.0,477.0,465.0,0.21,0.49,0.5,0.23,2019,oregon,0.51,-170.0
1568,white,11607.0,1136.0,577.0,560.0,0.61,0.13,0.85,0.63,2019,oregon,0.51,24.0
1569,multi,1279.0,1131.0,574.0,557.0,0.6,0.14,0.84,0.61,2019,oregon,0.51,19.0
1570,no_race,484.0,1028.0,522.0,506.0,0.39,0.37,0.62,0.4,2019,oregon,0.51,-84.0
1571,female,10454.0,1094.0,559.0,536.0,0.5,0.2,0.79,0.51,2019,oregon,0.51,-18.0
1572,male,8164.0,1135.0,566.0,569.0,0.63,0.16,0.81,0.65,2019,oregon,0.51,23.0
1573,total,95794.0,1082.0,545.0,537.0,0.5,0.23,0.75,0.52,2019,pennsylvania,0.7,0.0
1574,native,287.0,956.0,479.0,477.0,0.25,0.49,0.47,0.29,2019,pennsylvania,0.7,-126.0
1575,asian,5603.0,1202.0,581.0,621.0,0.71,0.14,0.81,0.77,2019,pennsylvania,0.7,120.0
1576,black,9820.0,911.0,464.0,447.0,0.17,0.58,0.41,0.18,2019,pennsylvania,0.7,-171.0
1577,latino,8967.0,979.0,498.0,481.0,0.29,0.42,0.56,0.31,2019,pennsylvania,0.7,-103.0
1578,pacific,65.0,962.0,484.0,478.0,0.26,0.45,0.52,0.29,2019,pennsylvania,0.7,-120.0
1579,white,64724.0,1119.0,564.0,554.0,0.58,0.15,0.84,0.6,2019,pennsylvania,0.7,37.0
1580,multi,3657.0,1071.0,543.0,528.0,0.45,0.25,0.74,0.47,2019,pennsylvania,0.7,-11.0
1581,no_race,2671.0,945.0,479.0,466.0,0.26,0.52,0.46,0.28,2019,pennsylvania,0.7,-137.0
1582,female,51863.0,1070.0,545.0,525.0,0.46,0.23,0.75,0.48,2019,pennsylvania,0.7,-12.0
1583,male,43902.0,1097.0,546.0,551.0,0.55,0.23,0.75,0.58,2019,pennsylvania,0.7,15.0
1584,total,11478.0,995.0,503.0,492.0,0.34,0.42,0.56,0.36,2019,rhode-island,1.0,0.0
1585,native,159.0,797.0,406.0,392.0,0.06,0.87,0.13,0.07,2019,rhode-island,1.0,-198.0
1586,asian,491.0,1119.0,543.0,576.0,0.55,0.26,0.69,0.6,2019,rhode-island,1.0,124.0
1587,black,935.0,872.0,442.0,430.0,0.13,0.66,0.32,0.15,2019,rhode-island,1.0,-123.0
1588,latino,2393.0,903.0,457.0,446.0,0.17,0.61,0.37,0.19,2019,rhode-island,1.0,-92.0
1589,pacific,22.0,865.0,430.0,435.0,0.05,0.73,0.23,0.09,2019,rhode-island,1.0,-130.0
1590,white,6658.0,1046.0,530.0,516.0,0.43,0.31,0.67,0.44,2019,rhode-island,1.0,51.0
1591,multi,534.0,983.0,500.0,483.0,0.3,0.43,0.55,0.32,2019,rhode-island,1.0,-12.0
1592,no_race,286.0,904.0,456.0,448.0,0.22,0.6,0.39,0.22,2019,rhode-island,1.0,-91.0
1593,female,5758.0,1003.0,512.0,492.0,0.34,0.39,0.6,0.35,2019,rhode-island,1.0,8.0
1594,male,5707.0,986.0,494.0,492.0,0.33,0.45,0.52,0.36,2019,rhode-island,1.0,-9.0
1595,total,31633.0,1030.0,526.0,504.0,0.38,0.32,0.66,0.39,2019,south-carolina,0.68,0.0
1596,native,184.0,934.0,478.0,455.0,0.18,0.52,0.47,0.18,2019,south-carolina,0.68,-96.0
1597,asian,897.0,1155.0,565.0,590.0,0.64,0.16,0.79,0.69,2019,south-carolina,0.68,125.0
1598,black,7223.0,906.0,463.0,443.0,0.13,0.6,0.39,0.14,2019,south-carolina,0.68,-124.0
1599,latino,2592.0,1004.0,512.0,492.0,0.32,0.36,0.63,0.34,2019,south-carolina,0.68,-26.0
1600,pacific,44.0,942.0,481.0,461.0,0.16,0.55,0.43,0.18,2019,south-carolina,0.68,-88.0
1601,white,17837.0,1090.0,557.0,533.0,0.5,0.19,0.8,0.51,2019,south-carolina,0.68,60.0
1602,multi,1417.0,1038.0,530.0,507.0,0.36,0.3,0.69,0.38,2019,south-carolina,0.68,8.0
1603,no_race,1439.0,881.0,450.0,431.0,0.11,0.65,0.34,0.12,2019,south-carolina,0.68,-149.0
1604,female,17153.0,1026.0,529.0,497.0,0.35,0.31,0.68,0.36,2019,south-carolina,0.68,-4.0
1605,male,14422.0,1035.0,522.0,513.0,0.41,0.34,0.64,0.43,2019,south-carolina,0.68,5.0
1606,total,266.0,1268.0,633.0,635.0,0.82,0.06,0.94,0.82,2019,south-dakota,0.03,0.0
1607,native,3.0,,,,,,,,2019,south-dakota,0.03,
1608,asian,26.0,1326.0,634.0,692.0,0.88,0.08,0.88,0.92,2019,south-dakota,0.03,58.0
1609,black,7.0,,,,,,,,2019,south-dakota,0.03,
1610,latino,14.0,1165.0,590.0,575.0,0.57,0.29,0.71,0.57,2019,south-dakota,0.03,-103.0
1611,pacific,0.0,,,,,,,,2019,south-dakota,0.03,
1612,white,196.0,1272.0,638.0,634.0,0.84,0.03,0.97,0.84,2019,south-dakota,0.03,4.0
1613,multi,18.0,1291.0,651.0,640.0,0.78,0.06,0.94,0.78,2019,south-dakota,0.03,23.0
1614,no_race,2.0,,,,,,,,2019,south-dakota,0.03,
1615,female,155.0,1247.0,626.0,621.0,0.79,0.06,0.94,0.8,2019,south-dakota,0.03,-21.0
1616,male,111.0,1297.0,644.0,653.0,0.85,0.05,0.95,0.85,2019,south-dakota,0.03,29.0
1617,total,4374.0,1220.0,618.0,602.0,0.74,0.08,0.91,0.75,2019,tennessee,0.07,0.0
1618,native,6.0,,,,,,,,2019,tennessee,0.07,
1619,asian,509.0,1314.0,637.0,677.0,0.86,0.06,0.91,0.89,2019,tennessee,0.07,94.0
1620,black,378.0,1082.0,555.0,528.0,0.48,0.2,0.77,0.51,2019,tennessee,0.07,-138.0
